0,1,2
FV,
PR,312.9997769991557,1202.2769876321156
L,
LX,
FVPR,
FVL,
FVLX,
PRL,146.0797312259674,1464.2841178576152
PRLX,223.00246930122375,1803.0081981817882
LPR,
LLX,
FVPRL,
FVPRLX,2058.121268192927
FVLPR,
FVLLX,
PRLLX,690.6470642089844,2427.6893505255384
LPRLX,
FVPRLLX,1820.557409286499
FVLPRLX,
NoSym,
virtual best,146.0797312259674,1035.3569418589273
