0,1,2,3,4
FV,0.5669204711914062,2.8571325778961185,26.766497468948366,81.99145798683168
PR,1.4325762748718263,5.977621364593507,40.97838969230652,100.96693277359009
L,1.6749667644500732,9.781512117385864,58.843916511535646,161.33043618202208
LX,0.4523341655731201,2.0615288734436037,20.790113735198975,49.34202246665954
FVPR,0.5366730690002441,2.042888879776001,19.72980456352234,95.90545020103454
FVL,0.5028769969940186,1.8855587244033813,18.89271891117096,120.17849159240723
FVLX,0.44200360774993896,1.9307456016540527,14.62902581691742,43.05397891998291
PRL,1.3075065612792969,6.28433575630188,50.21067843437195,121.54180307388305
PRLX,1.302135133743286,5.771152973175049,44.20447998046875,105.77640628814697
LPR,1.527817726135254,5.881234931945801,46.81934733390808,132.86368169784546
LLX,1.5733439445495605,8.149166679382324,66.80352363586425,199.29478764533997
FVPRL,0.49032700061798096,1.9312390089035034,18.18616545200348,89.05232560634613
FVPRLX,0.5021926164627075,1.9968557357788086,18.886975407600403,94.24711608886719
FVLPR,0.518977165222168,1.914658784866333,19.44526517391205,120.36313366889954
FVLLX,0.573363184928894,1.914698839187622,18.399025917053223,119.0101580619812
PRLLX,2.7467774152755737,12.690410852432251,166.77854764461517,395.39408898353577
LPRLX,2.7239044904708862,12.806630969047546,203.83572781085968,652.474538564682
FVPRLLX,0.5037188529968262,2.018130302429199,18.68431317806244,92.84032690525055
FVLPRLX,0.5491272211074829,2.029427647590637,20.206079483032227,128.28152060508728
NoSym,1.51499662399292,6.384202671051025,35.23644909858703,92.63114323616027
virtual best,0.44200360774993896,1.783339262008667,14.481619477272034,42.906572580337524
