0,1,2,3,4,5,6,7,8,9,10
FV,1.0260093212127686,2.7878393332163496,5.344055016835531,8.36479385693868,12.92904845873515,19.088712135950725,27.782411654790245,42.72392121950786,65.64484016100566,89.45052178700766
PR,1.2137727737426758,3.4767332077026367,7.271595160166422,12.058298746744791,19.9997874101003,370.85341238975525,810.9176233609517
L,1.7818114757537842,6.9106143315633135,25.245612303415932,48.66527088483174,188.67596554756165
LX,1.3930882612864177,4.578563849131267,8.35047499338786,13.189570665359497,19.129316091537476,27.877697626749672,37.30061427752177,52.12865495681763,69.55923223495483,88.89498813947041
FVPR,1.2176409562428792,2.829042116800944,5.098392089207967,7.81733759244283,12.013122955958048,17.6513987382253,24.580991506576538,35.54918440183004,48.7587054570516,62.32722393671672
FVL,1.1971779664357503,3.1091259320576983,5.74900205930074,9.146937290827433,13.33860699335734,19.39221970240275,27.081328550974526,37.34176429112752,50.37233694394429,66.09252913792928
FVLX,1.2349406083424885,2.9311057726542153,5.534724871317545,8.399412075678507,12.253754297892252,18.05524452527364,25.261571645736694,36.885762532552086,51.10210736592611,66.2360228697459
PRL,1.2841746012369792,3.375647147496541,6.809750080108643,10.755146582921347,18.97676110267639,334.4129027525584,858.833507458369
PRLX,1.2640398343404133,3.2479185263315835,6.214064280192057,9.822340408960978,14.637086311976114,27.710702180862427,44.20137778917949,76.09137145678203,109.43464589118958,152.8883719444275
LPR,1.8593077659606934,5.59507711728414,14.404604196548462,24.54407890637716,46.94807322820028,712.2328248023987,1623.7533832391105
LLX,1.5761121114095051,4.6734975179036455,8.616935968399048,13.060139099756878,19.007639090220135,27.132827520370483,37.698837200800575,52.051761547724404,66.8285460472107,81.87248174349467
FVPRL,1.1243349711100261,2.8012951215108237,5.255517800649008,8.056185960769653,12.042542934417725,18.054752111434937,26.63798395792643,40.312312841415405,54.42179520924886,69.24786845842998
FVPRLX,1.1735692818959553,2.9886467456817627,5.615260203679403,8.65661398569743,12.90304764111837,19.015233198801678,26.130311727523804,36.35359390576681,49.897430976231895,64.87392322222392
FVLPR,1.2716262340545654,3.3219025135040283,6.076727390289307,9.601227362950643,14.19526203473409,20.619378884633385,28.55690638224284,40.11308368047079,56.38539171218872,79.82458551724751
FVLLX,1.382443110148112,3.579812367757161,6.989897569020589,10.722463766733805,15.822477579116821,23.29662863413493,34.42739748954773,46.262581984202065,63.49797224998474,80.73421390851338
PRLLX,1.5936847527821858,4.203202724456787,8.074548800786337,12.049879391988119,19.148760000864666,36.096555948257446,53.95301548639934,80.03391035397848,114.38035734494528,153.1575991312663
LPRLX,1.776297648747762,5.079945166905721,10.803835948308308,16.90714875857035,25.94406819343567,55.40352725982666,89.02396202087402,153.4721330006917,246.81228637695312,347.235941807429
FVPRLLX,1.2204235394795735,3.100183804829915,5.852309783299764,9.101323684056599,13.508416891098022,19.970467567443848,27.998860359191895,39.33222532272339,54.29423141479492,70.53238638242085
FVLPRLX,1.521877686182658,4.081760327021281,7.7907679080963135,12.767608880996704,19.922033468882244,29.25341534614563,39.75083796183268,55.14637589454651,75.63360095024109,96.48027841250102
NoSym,7.774600823720296,330.9006129900614
virtual best,1.0260093212127686,2.637410481770833,4.9067604541778564,7.62570595741272,11.480048179626465,17.11832396189372,24.047916730244957,34.27119890848796,47.30177156130473,60.870290040969856
