0,1,2,3,4
FV,0.6665389537811279,2.6788719495137534,7.954495112101236,19.382860978444416
PR,0.6741894086201986,2.3719897270202637,7.510214010874431,20.16834298769633
L,1.6261794567108154,4.9788001378377285,14.87362821896871,39.495762507120766
LX,0.5124265352884928,1.9002707799275718,6.944854656855265,18.0168297290802
FVPR,0.4354714552561442,1.7496445178985596,5.579382340113321,15.66510494550069
FVL,0.5355779329935709,1.8906331857045493,6.837657531102499,17.10390559832255
FVLX,0.30053162574768066,1.448633352915446,4.824574152628581,13.604130506515503
PRL,0.6429560979207357,2.601161162058512,7.759152889251709,21.84133140246073
PRLX,0.5883021354675293,2.2510655721028643,8.008060852686564,20.29999351501465
LPR,1.9978206952412922,4.9119606812795,16.365504105885822
LLX,0.7566061019897461,2.628914515177409,8.433535973230999,26.58435575167338
FVPRL,0.44117053349812824,1.7609793345133462,5.704525709152222,13.982678174972534
FVPRLX,0.4520750045776367,1.6724871794382732,5.935117562611898,14.323264837265015
FVLPR,0.5850906372070312,2.423259973526001,7.865625222524007,20.965161323547363
FVLLX,0.6523388226826986,1.996938625971476,5.808979908625284,18.12301429112752
PRLLX,0.6084691683451334,2.505323886871338,8.870718240737915,27.866586049397785
LPRLX,1.0950734615325928,3.099507967631022,13.598622163136799,35.50705536206563
FVPRLLX,0.47838815053304035,1.8310960133870442,7.0466021696726475,18.93759822845459
FVLPRLX,0.563064177831014,2.0484771728515625,8.310630639394123,22.972449700037636
NoSym,28.56116445859273,59.941313584645584,663.1695547103882,1951.94828414917
virtual best,0.30053162574768066,1.448633352915446,4.824574152628581,13.102726618448894
