0,1,2,3,4
FV,0.6829595565795898,1.3790438969930015,2.0790421962738037,2.779920736948649
PR,0.6780412991841634,1.3661340872446697,2.0581115086873374,2.75598406791687
L,0.7139124075571696,1.4287350177764893,2.151355028152466,2.881214221318563
LX,0.7144110997517904,1.428911050160726,2.1438896656036377,2.858905633290609
FVPR,0.6788762410481771,1.3724671204884848,2.066063642501831,2.7599051793416343
FVL,0.687300443649292,1.3878490924835205,2.088972806930542,2.792968988418579
FVLX,0.6937124729156494,1.3976785341898599,2.1100401083628335,2.825246016184489
PRL,0.6923667589823405,1.3959073225657144,2.1118524869283037,2.8299306233723955
PRLX,0.6934100786844889,1.3963729540506997,2.107926368713379,2.844874620437622
LPR,0.6912844181060791,1.3999321460723877,2.1243370374043784,2.9041266441345215
LLX,0.7133824825286865,1.4416782855987549,2.1831562519073486,2.9328931172688804
FVPRL,0.6906388600667318,1.3915685812632244,2.0957755247751875,2.8022900422414145
FVPRLX,0.7440061569213867,1.499683141708374,2.2586830457051597,3.084915081659953
FVLPR,0.6976417700449625,1.4080397288004556,2.120971282323201,2.8376204967498775
FVLLX,0.6874820391337076,1.386147896448771,2.0910061200459795,2.798346439997355
PRLLX,0.7192871570587158,1.4670214653015137,2.2157094478607178,3.0333290894826255
LPRLX,0.6962796052296957,1.394980033238729,2.1093000570933027,2.836661418279012
FVPRLLX,0.6747994422912598,1.364029804865519,2.0535169442494707,2.745043277740478
FVLPRLX,0.6723010540008545,1.3594180742899575,2.048815886179606,2.741895278294881
NoSym,0.7088054815928141,1.432213544845581,2.185692469278971,2.967137018839518
virtual best,0.6723010540008545,1.3594180742899575,2.048815886179606,2.7403422196706133
