0,1,2,3,4
FV,0.22549756368001303,0.7657524744669597,2.684349775314331,6.106895844141642
PR,0.26894529660542804,1.0335756142934163,3.322141647338867,8.166951020558674
L,0.3640330632527669,1.192329963048299,5.487533092498779,12.47012996673584
LX,0.27355241775512695,0.9233396053314209,3.734736919403076,7.713631629943848
FVPR,0.21994598706563315,0.7809514204661052,2.5439094702402754,7.175639390945435
FVL,0.18451722462972006,0.7192935148874919,2.3021307786305747,6.075021107991537
FVLX,0.21508153279622397,0.7895307540893555,2.4246024290720625,5.986709833145142
PRL,0.30522775650024414,1.0000783602396646,3.4742275079091387,9.777965784072876
PRLX,0.35493675867716473,1.1035200754801433,3.3889443079630537,6.768590609232585
LPR,0.7084381580352783,1.8859562079111736,5.83566157023112,13.687819957733154
LLX,0.3113277753194173,1.233567476272583,3.524709463119507,9.012542327245075
FVPRL,0.20047537485758463,0.7396181424458821,2.6518611907958984,6.643384536107382
FVPRLX,0.21166125933329263,0.8217549324035645,2.5558033784230547,6.345414161682129
FVLPR,0.21837933858235678,0.7914857864379883,2.6891755263010664,6.919530232747396
FVLLX,0.24793370564778647,0.8263797760009766,2.6621709664662676,6.755036195119222
PRLLX,0.3318012555440267,1.0796663761138916,3.4407031536102295,9.022075414657593
LPRLX,0.35772116978963214,1.151319980621338,4.280575116475424,10.53166429201762
FVPRLLX,0.24002679189046225,0.8221476078033447,3.1073807875315347,8.261982679367065
FVLPRLX,0.24419641494750977,0.8465347290039062,2.9139185746510825,6.589061419169108
NoSym,0.5275892416636149,1.6808389822642007,10.26592191060384,29.449951728185017
virtual best,0.18451722462972006,0.7192935148874919,2.3021307786305747,5.681777079900106
