0,1,2,3,4
FV,0.30713210105895994,0.7211691379547118,10.558581161499024,33.74689683914185
PR,0.6241299152374268,1.5173481464385987,5.310422134399414,10.45636076927185
L,0.4004349231719971,0.94797625541687,5.06763310432434,10.925242567062377
LX,0.35834641456604005,0.8266932010650635,3.3228683471679688,7.074534702301025
FVPR,0.2893967151641846,0.7082175731658935,4.546705484390259,10.818988704681397
FVL,0.2735016345977783,0.6215043067932129,6.30684757232666,16.242446064949036
FVLX,0.37287580966949463,0.748764157295227,2.97520649433136,8.584267258644104
PRL,0.39375505447387693,1.0623813629150392,5.0655470371246345,11.14264144897461
PRLX,0.4690314769744873,1.262888765335083,5.044413280487061,10.770654296875001
LPR,0.4687638759613037,1.1430241107940673,6.566152858734132,12.809134244918823
LLX,0.5203334331512451,1.2367990016937256,5.567795038223267,10.722085905075073
FVPRL,0.28924310207366943,0.7141785621643066,4.700618863105774,11.177457094192505
FVPRLX,0.3551774024963379,0.863616943359375,5.234612226486206,11.781797766685486
FVLPR,0.34128057956695557,0.7577782869338989,7.077865481376648,19.19654393196106
FVLLX,0.3258596658706665,0.7603191137313843,6.360337734222412,15.21690821647644
PRLLX,0.6235593557357788,1.5841199159622192,12.127615928649902,23.7437561750412
LPRLX,0.7342624664306641,1.7998297214508057,17.02229332923889,45.080496072769165
FVPRLLX,0.36121559143066406,0.875874400138855,5.399667978286743,12.96888554096222
FVLPRLX,0.39349365234375,0.8932151794433594,8.265863060951233,19.812711119651794
NoSym,0.9560657501220703,2.086657238006592,6.358265352249146,12.173756551742553
virtual best,0.2735016345977783,0.6215043067932129,2.8479466438293457,6.599612998962402
