0,1,2,3,4,5,6,7,8,9,10
FV,8.521568632125854,23.722917318344116,55.8902783870697,103.45515704154968,184.56647291183472,283.39832429885865,425.02940945625306,576.0748527050018,755.3818922519683
PR,1.51150484085083,4.875408506393432,10.099338483810424,17.171016740798947,31.363332462310787,855.3930225372314,2299.581881904602
L,2.735473966598511,12.69711389541626,30.52931160926819,70.94271121025085,161.57540478706358
LX,1.6523046970367432,5.762187480926514,13.049768733978272,22.328122711181642,41.39328904151917,62.942739486694336,112.52835946083069,198.68126106262207,304.67769479751587,531.4956041812897
FVPR,2.804166078567505,8.859012961387634,21.95280373096466,40.37612724304199,68.2728066444397,181.95453214645386,342.0530561208725,566.6736973524094,884.2141615152359,1244.11286175251
FVL,5.80527400970459,18.373992443084717,44.21368396282196,80.58857846260071,153.1356486082077,241.19561195373535,339.6773769855499,493.4129238128662,717.7532235383987,969.9053004980087
FVLX,5.94542670249939,20.710691928863525,53.34943389892578,103.56074023246765,185.64688742160797,271.7157098054886,394.10560166835785,542.5781979560852,737.2100311517715,1035.3698533773422
PRL,2.418017768859863,7.492915487289428,14.831884717941284,23.85667462348938,41.90002336502075,893.6316729545593,2247.677556467056
PRLX,1.8091036319732665,6.487185430526733,13.506002140045165,22.878707027435304,38.79859867095948,125.45030927658081,223.7023766040802,490.958666229248,866.1890291690827,1356.3352746486664
LPR,2.0926448345184325,8.224260473251343,22.428419971466063,45.49584288597107,106.1958571434021
LLX,3.460115432739258,14.648786306381226,33.29101696014404,58.50951175689697,97.26486759185791,151.10450758934022,246.76879801750184,406.08716998100283,596.6420355319976,1111.7937331199646
FVPRL,2.8476974964141846,8.898069500923157,21.160794019699097,38.81464064121246,74.90226554870605,212.72657358646393,368.6127654314041,615.0413030385971,964.52985060215,1348.460455775261
FVPRLX,2.7760013341903687,8.98741865158081,20.241747617721558,39.080400705337524,69.76950776576996,191.99252200126648,342.8289358615875,573.8547986745834,892.6234729290009,1274.0497356653214
FVLPR,2.4583715200424194,8.891506552696228,21.82265615463257,38.47766983509064,65.73022842407227,151.63592183589935,252.835595369339,412.16218400001526,634.9999395608902,874.5442359447479
FVLLX,5.71709418296814,19.23241627216339,47.04179620742798,81.46409559249878,164.10596311092377,250.1933135986328,347.7439579963684,495.1733969449997,709.4109189510345,935.2448537349701
PRLLX,2.2908620834350586,7.42820143699646,17.12510097026825,30.739765644073486,54.365668177604675,263.92866599559784,526.3112373352051,1380.258037686348,2326.906203508377,4118.747699022293
LPRLX,2.8888825178146362,10.415177941322327,24.579702973365784,44.76582884788513,80.72137546539307,651.9666569232941,1434.5431063175201,3078.2943890094757,5028.314546823502,7201.298146605492
FVPRLLX,2.87344753742218,9.161022186279297,21.33653688430786,40.54013431072235,73.25022065639496,193.8219952583313,346.30095648765564,600.3737310171127,911.6400291919708,1282.7381026744843
FVLPRLX,2.581334710121155,8.710173606872559,19.76972186565399,37.24512982368469,67.38392066955566,155.887216091156
NoSym,3.5090288162231444,26.783372163772583,177.06218729019164,671.1263396263123
virtual best,1.51150484085083,4.875408506393432,10.099338483810424,17.171016740798947,31.363332462310787,52.91278290748596,102.49840288162231,188.6513044834137,294.6477382183075,520.481673002243
