Price min value,Price for each machine,Time
1512,"[126, 126, 126, 210, 210, 210, 126, 126, 126, 126]",2383.7790656089783
1512,"[126, 126, 126, 210, 210, 210, 126, 126, 126, 126]",2377.3343908786774
